,AQI Value,AQI Value,AQI Value,AQI Value,AQI Value,CO AQI Value,CO AQI Value,CO AQI Value,CO AQI Value,CO AQI Value,Ozone AQI Value,Ozone AQI Value,Ozone AQI Value,Ozone AQI Value,Ozone AQI Value,NO2 AQI Value,NO2 AQI Value,NO2 AQI Value,NO2 AQI Value,NO2 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value,PM2.5 AQI Value
,mean,max,min,std,count,mean,max,min,std,count,mean,max,min,std,count,mean,max,min,std,count,mean,max,min,std,count
Country,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,86.33333333333333,133,62,40.42688874169435,3,0.3333333333333333,1,0,0.5773502691896258,3,42.0,46,39,3.605551275463989,3,0.0,0,0,0.0,3,86.33333333333333,133,62,40.42688874169435,3
Albania,77.11111111111111,115,44,24.7054874696111,9,1.0,1,1,0.0,9,42.55555555555556,47,39,2.788866755113585,9,0.5555555555555556,2,0,0.7264831572567789,9,76.55555555555556,115,39,25.583740496217082,9
Algeria,106.25,154,74,34.41293361513953,4,4.0,10,0,4.242640687119285,4,35.0,45,28,7.164728420068227,4,25.75,69,0,29.937434759845406,4,106.25,154,74,34.41293361513953,4
Andorra,32.0,32,32,,1,1.0,1,1,,1,32.0,32,32,,1,0.0,0,0,,1,24.0,24,24,,1
Angola,85.0,285,20,70.0828081629154,21,3.380952380952381,23,0,5.342997197043907,21,23.19047619047619,49,7,9.42135365867903,21,2.238095238095238,14,0,4.048515306933665,21,82.52380952380952,285,8,72.2769804623983,21
Argentina,26.571428571428573,90,11,16.1775859050195,42,0.38095238095238093,2,0,0.5388506717613029,42,15.642857142857142,34,0,6.628914595226084,42,1.4523809523809523,11,0,2.5298450830077686,42,22.261904761904763,90,0,18.989161894462935,42
Armenia,51.8,100,30,21.814046657577027,20,0.85,1,0,0.3663475485325232,20,33.95,40,26,4.65069321375008,20,0.1,1,0,0.30779350562554625,20,50.65,100,23,23.06118863052448,20
Aruba,163.0,163,163,,1,0.0,0,0,,1,23.0,23,23,,1,0.0,0,0,,1,163.0,163,163,,1
